SongID,spotify_track_explicit,spotify_track_duration_ms,spotify_track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,hit
(It's The Way) Nature Planned ItFour Tops,No Explicit Content,227386,32,0.577,0.604,C#/Db,-8.412,major,0.0337,0.539,0.00418,0.0794,0.721,92.295,4,0
(It) Feels So GoodSteven Tyler,No Explicit Content,211293,33,0.738,0.952,F#,-3.386,minor,0.0515,0.0631,0,0.216,0.899,122,4,0
(Just Like) Romeo & JulietThe Reflections,No Explicit Content,127893,28,0.773,0.863,Eb,-9.321,major,0.0356,0.205,0.586,0.188,0.976,145.384,4,0
(Just Like) Romeo And JulietSha Na Na,No Explicit Content,136240,11,0.749,0.738,Eb,-11.538,major,0.0388,0.168,4.6E-6,0.113,0.979,141.185,4,0
(Just Like) Starting OverJohn Lennon,No Explicit Content,236546,57,0.701,0.79,A,-6.16,major,0.0725,0.301,0.0000606,0.179,0.421,99.104,4,1
(Keep Feeling) FascinationThe Human League,No Explicit Content,224733,45,0.711,0.609,C,-9.042,major,0.0764,0.381,1.24E-6,0.204,0.674,118.132,4,0
(Kissed You) Good NightGloriana,No Explicit Content,232903,51,0.523,0.747,B,-6.125,major,0.0292,0.0807,0,0.11,0.294,118.97,4,0
(Last Night) I Didn't Get To Sleep At AllThe 5th Dimension,No Explicit Content,192600,38,0.663,0.58,F,-10.144,minor,0.0269,0.453,0.00124,0.0963,0.551,105.229,4,0
(Lay Your Head On My) PillowTony Toni Tone,No Explicit Content,372026,52,0.708,0.482,F#,-8.962,minor,0.04,0.061,1.08E-6,0.0689,0.514,79.086,4,0
(Loneliness Made Me Realize) It's You That I NeedThe Temptations,No Explicit Content,158733,20,0.555,0.37,C,-12.075,major,0.0311,0.559,0,0.253,0.965,116.912,4,0
(Love Is Like A) Baseball GameThe Intruders,No Explicit Content,165920,25,0.654,0.539,C,-7.825,major,0.0274,0.748,0,0.168,0.849,88.978,4,0
(Love Is) Thicker Than WaterAndy Gibb,No Explicit Content,255960,45,0.586,0.463,F#,-9.929,minor,0.0252,0.129,0.0000708,0.0757,0.551,96.479,4,1
(Love Me) Love The Life I LeadThe Fantastics,No Explicit Content,186521,0,0.356,0.549,A,-12.198,major,0.0574,0.35,0,0.0583,0.784,78.331,4,0
(Marie's The Name) His Latest FlameElvis Presley,No Explicit Content,127093,56,0.661,0.917,E,-6.329,minor,0.0375,0.568,0.00202,0.134,0.893,105.289,4,0
(New In) The Ways Of LoveTommy Edwards,No Explicit Content,159640,9,0.386,0.322,G,-13.018,minor,0.032,0.715,0,0.0544,0.508,178.668,3,0
(Now You See Me) Now You Don'tLee Ann Womack,No Explicit Content,159600,22,0.626,0.808,D,-6.027,major,0.0613,0.178,0,0.342,0.663,103.964,4,0
(Oh Lord Won't You Buy Me A) Mercedes BenzGoose Creek Symphony,No Explicit Content,196333,25,0.486,0.41,E,-14.328,major,0.0457,0.744,0.00106,0.0775,0.926,88.824,4,0
(Open Up The Door) Let The Good Times InDean Martin,No Explicit Content,198600,34,0.443,0.618,C#/Db,-12.153,major,0.0846,0.77,2.88E-6,0.47,0.636,78.936,4,0
(Our Love) Don't Throw It All AwayAndy Gibb,No Explicit Content,250200,48,0.349,0.344,F,-13.206,major,0.0526,0.359,0.000129,0.603,0.228,142.441,4,0
(Pride) In The Name Of LoveU2,No Explicit Content,228426,60,0.464,0.839,E,-7.106,major,0.0329,0.0016,0.000326,0.601,0.75,105.756,4,0
(Reach Up For The) SunriseDuran Duran,No Explicit Content,334586,25,0.465,0.978,C,-4.071,major,0.129,0.00137,0.000525,0.972,0.38,129.965,4,0
(Remember Me) I'm The One Who Loves YouDean Martin,No Explicit Content,145320,36,0.475,0.507,C#/Db,-13.103,major,0.0372,0.646,0.0000103,0.24,0.59,113.364,4,0
(Remember The Days Of The) Old SchoolyardCat Stevens,No Explicit Content,164826,42,0.648,0.581,Bb,-8.684,major,0.0495,0.485,0,0.565,0.61,146.185,4,0
(Say) You're My GirlRoy Orbison,No Explicit Content,165426,12,0.424,0.657,C,-5.801,major,0.0289,0.727,0.000162,0.153,0.85,155.56,4,0
"(Shake, Shake, Shake) Shake Your BootyKC And The Sunshine Band",No Explicit Content,186906,53,0.649,0.825,Bb,-12.243,minor,0.0335,0.00606,0.154,0.104,0.961,112.124,4,1
